UTP,Cidade Sede,UF,Impacto direto,Impacto direto e indireto,"Impacto direto, indireto e induzido"
491,Cruz Alta,RS,0.018,0.027,0.031
737,Tomé-Açu,PA,0.022,0.027,0.03
572,Lucas do Rio Verde,MT,0.019,0.026,0.029
549,Jaguarari,BA,0.025,0.025,0.026
762,Xanxerê,SC,0.016,0.024,0.028
720,Sento Sé,BA,0.024,0.024,0.025
174,Jaciara,MT,0.016,0.024,0.028
219,Morros,MA,0.023,0.024,0.026
707,São Joaquim da Barra,SP,0.02,0.023,0.025
660,Primavera do Leste,MT,0.015,0.023,0.026
181,Jequié,BA,0.017,0.023,0.026
457,Casa Nova,BA,0.023,0.023,0.024
318,São Roque,SP,0.015,0.023,0.027
64,Cametá,PA,0.017,0.022,0.024
371,Alcântara,MA,0.022,0.022,0.023
594,Monte Santo,BA,0.022,0.022,0.023
345,Três Rios,RJ,0.014,0.022,0.025
469,Cipó,BA,0.021,0.022,0.023
467,Chaves,PA,0.017,0.022,0.025
635,Pesqueira,PE,0.019,0.021,0.022
58,Cachoeiro de Itapemirim,ES,0.018,0.021,0.022
244,Patos,PB,0.018,0.021,0.022
708,São José do Jacuípe,BA,0.017,0.021,0.022
235,Paranavaí,PR,0.02,0.021,0.022
63,Cambuí,MG,0.014,0.021,0.024
165,Itapetininga,SP,0.013,0.021,0.024
308,São João da Boa Vista,SP,0.017,0.02,0.022
14,Amparo,SP,0.017,0.02,0.023
158,Itabira,MG,0.018,0.02,0.021
119,Guarabira,PB,0.018,0.02,0.021
326,Solânea,PB,0.014,0.02,0.023
479,Conceição do Mato Dentro,MG,0.019,0.02,0.021
661,Realeza,PR,0.014,0.019,0.021
535,Ijuí,RS,0.012,0.019,0.022
72,Capão da Canoa,RS,0.012,0.019,0.022
196,Leme,SP,0.016,0.019,0.021
657,Presidente Dutra,MA,0.015,0.019,0.02
503,Erechim,RS,0.013,0.019,0.022
425,Buritis,RO,0.015,0.019,0.02
293,Santa Cruz do Sul,RS,0.013,0.019,0.022
170,Itu,SP,0.012,0.018,0.02
276,Propriá,SE,0.017,0.018,0.019
198,Linhares,ES,0.013,0.018,0.02
315,São Mateus,ES,0.012,0.018,0.021
704,São João do Rio do Peixe,PB,0.017,0.018,0.018
143,Guajará-Mirim,RO,0.014,0.017,0.018
685,Santa Quitéria,CE,0.015,0.017,0.018
171,Itumbiara,GO,0.012,0.017,0.019
173,Jacaraú,PB,0.015,0.017,0.018
105,Estreito,MA,0.013,0.016,0.018
513,Frederico Westphalen,RS,0.011,0.016,0.019
596,Montenegro,RS,0.011,0.016,0.018
23,Arapongas,PR,0.012,0.016,0.018
227,Nova Serrana,MG,0.012,0.016,0.018
346,Laguna,SC,0.011,0.016,0.018
587,Medianeira,PR,0.015,0.016,0.017
323,Sete Lagoas,MG,0.014,0.015,0.016
733,Tauá,CE,0.014,0.015,0.015
739,Tucano,BA,0.014,0.015,0.016
342,Torres,RS,0.01,0.015,0.018
356,Valença,RJ,0.01,0.015,0.017
320,Sapiranga,RS,0.01,0.015,0.017
752,Valente,BA,0.013,0.015,0.015
710,São Luís de Montes Belos,GO,0.01,0.014,0.016
400,Balsas,MA,0.013,0.014,0.014
666,Rio Brilhante,MS,0.011,0.014,0.015
51,Bragança Paulista,SP,0.011,0.014,0.015
504,Esperantina,PI,0.013,0.014,0.015
747,Uruará,PA,0.011,0.014,0.015
670,Rolim de Moura,RO,0.013,0.014,0.015
125,Iguape,SP,0.009,0.014,0.016
429,Cachoeira do Sul,RS,0.009,0.014,0.016
55,Brusque,SC,0.011,0.014,0.015
122,Guaratinguetá,SP,0.011,0.014,0.015
560,Juazeirinho,PB,0.009,0.013,0.015
683,Santa Maria da Boa Vista,PE,0.012,0.013,0.013
431,Caculé,BA,0.009,0.013,0.014
765,Zé Doca,MA,0.011,0.013,0.015
59,Arcoverde,PE,0.012,0.013,0.014
217,Mogi Mirim,SP,0.011,0.013,0.015
48,Boituva,SP,0.01,0.013,0.015
524,Guaxupé,MG,0.009,0.013,0.015
124,Ituverava,SP,0.01,0.013,0.015
422,Morrinhos,GO,0.008,0.012,0.013
193,Estrela,RS,0.008,0.012,0.014
339,Tocantinópolis,TO,0.01,0.012,0.013
532,Ibirubá,RS,0.008,0.012,0.013
526,Gurupi,TO,0.01,0.012,0.014
216,Miracema do Tocantins,TO,0.009,0.012,0.013
522,Guaporé,RS,0.008,0.012,0.014
74,Capivari,SP,0.011,0.012,0.013
678,Salto do Jacuí,RS,0.008,0.012,0.013
292,Santa Adélia,SP,0.01,0.012,0.014
643,Piripiri,PI,0.011,0.012,0.012
690,Santana do Ipanema,AL,0.01,0.012,0.013
784,Canarana,MT,0.008,0.011,0.013
164,Itapema,SC,0.009,0.011,0.013
224,Nova Friburgo,RJ,0.007,0.011,0.012
343,Osório,RS,0.007,0.011,0.013
673,Rurópolis,PA,0.008,0.011,0.012
283,Rio Claro,SP,0.01,0.011,0.012
559,Juara,MT,0.007,0.011,0.012
280,Resende,RJ,0.008,0.011,0.013
